,date,personnel_ac,personnel_daily,aircraft,helicopter,tank,APC,field artillery,MRL,drone,naval ship,special equipment
0,2022-3-25,16100,300 ,115,125,561,1625,291,90,53,5,18
1,2022-3-26,16400,300 ,117,127,575,1640,293,91,56,7,19
2,2022-3-27,16600,200 ,121,127,582,1664,294,93,56,7,21
3,2022-3-28,17000,400 ,123,127,586,1694,302,95,66,7,21
4,2022-3-29,17200,200 ,127,129,597,1710,303,96,71,7,21
5,2022-3-30,17300,100 ,131,131,605,1723,305,96,81,7,21
6,2022-3-31,17500,200 ,135,131,614,1735,311,96,83,7,22
7,2022-4-1,17700,200 ,143,131,625,1751,316,96,85,7,24
8,2022-4-2,17800,100 ,143,134,631,1776,317,100,87,7,24
9,2022-4-3,18000,200 ,143,134,644,1830,325,105,89,7,24
10,2022-4-4,18300,300 ,147,134,647,1844,330,107,91,7,25
11,2022-4-5,18500,200 ,150,134,676,1858,332,107,94,7,25
12,2022-4-6,18600,100 ,150,135,684,1861,332,107,96,7,25
13,2022-4-7,18900,300 ,150,135,698,1891,332,108,111,7,25
14,2022-4-8,19000,100 ,150,135,700,1891,333,108,112,7,25
15,2022-4-9,19100,100 ,151,136,705,1895,335,108,112,7,25
16,2022-4-10,19300,200 ,152,137,722,1911,342,108,112,7,25
17,2022-4-11,19500,200 ,154,137,725,1923,347,111,119,7,25
18,2022-4-12,19600,100 ,157,140,732,1946,349,111,124,7,25
19,2022-4-13,19800,200 ,158,143,739,1964,358,115,132,7,25
20,2022-4-14,19900,100 ,160,144,753,1968,366,122,134,7,25
21,2022-4-15,20000,100 ,163,144,756,1976,366,122,135,8,25
22,2022-4-16,20100,100 ,163,145,762,1982,371,125,138,8,26
23,2022-4-17,20300,200 ,165,146,773,2002,376,127,148,8,27
24,2022-4-18,20600,300 ,167,147,790,2041,381,130,155,8,27
25,2022-4-19,20800,200 ,169,150,802,2063,386,132,158,8,27
26,2022-4-20,20900,100 ,171,150,815,2087,391,136,165,8,27
27,2022-4-21,21000,100 ,172,151,829,2118,393,136,166,8,27
28,2022-4-22,21200,200 ,176,153,838,2162,397,138,172,8,27
29,2022-4-23,21600,400 ,177,154,854,2205,403,143,182,8,27
30,2022-4-24,21800,200 ,179,154,873,2238,408,147,191,8,28
31,2022-4-25,21900,100 ,181,154,884,2258,411,149,201,8,28
32,2022-4-26,22100,200 ,184,154,918,2308,416,149,205,8,31
33,2022-4-27,22400,300 ,185,155,939,2342,421,149,207,8,31
34,2022-4-28,22800,400 ,187,155,970,2389,431,151,215,8,31
35,2022-4-29,23000,200 ,189,155,986,2418,435,151,229,8,31
36,2022-4-30,23200,200 ,190,155,1008,2445,436,151,232,8,32
37,2022-5-1,23500,300 ,192,155,1026,2471,451,151,245,8,32
38,2022-5-2,23800,300 ,194,155,1048,2519,459,152,271,8,38
39,2022-5-3,24200,400 ,194,155,1062,2567,475,162,291,10,38
40,2022-5-4,24500,300 ,194,155,1077,2610,491,163,303,10,38
41,2022-5-5,24700,200 ,196,155,1092,2651,499,169,312,10,38
42,2022-5-6,24900,200 ,199,155,1110,2686,502,171,324,11,38
43,2022-5-7,25100,200 ,199,155,1122,2713,509,172,341,11,38
44,2022-5-8,25500,400 ,199,156,1130,2741,509,179,360,12,39
45,2022-5-9,25650,150 ,199,158,1145,2764,513,185,377,12,41
46,2022-5-10,26000,350 ,199,158,1170,2808,519,185,380,12,41
47,2022-5-11,26350,350 ,199,160,1187,2856,528,185,390,12,41
48,2022-5-12,26650,300 ,199,161,1195,2873,534,191,398,13,41
49,2022-5-13,26900,250 ,200,162,1205,2900,542,193,405,13,41
